"POLITICO";"SOBRENOME";"NOME_MINUSCULA";"NOME_CASA_MINUSCULA";"NOME_CASA";"PARTIDO";"UF";"ID";"ANO_MANDATO";"LEGISLATURA";"URL_FOTO"
"LEONARDO PICCIANI";"PICCIANI";"leonardo picciani";"leonardo picciani";"LEONARDO PICCIANI";"PMDB";"RJ";1583;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=108345"
"LEONARDO QUINTÃO";"QUINTÃO";"leonardo quintão";"leonardo quintao";"LEONARDO QUINTAO";"PMDB";"MG";1873;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=161389"
"LEONARDO VILELA";"VILELA";"leonardo vilela";"leonardo vilela";"LEONARDO VILELA";"PSDB";"GO";1584;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=108340"
"LEOPOLDO MEYER";"MEYER";"leopoldo meyer";"leopoldo meyer";"LEOPOLDO MEYER";"PSB";"PR";2299;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189119"
"LILIAM SÁ";"SÁ";"liliam sá";"liliam sa";"LILIAM SA";"PSD";"RJ";2292;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189130"
"LINCOLN PORTELA";"PORTELA";"lincoln portela";"lincoln portela";"LINCOLN PORTELA";"PR";"MG";1355;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=99879"
"LINDOMAR GARÇON";"GARÇON";"lindomar garçon";"lindomar garcon";"LINDOMAR GARCON";"PV";"RO";1874;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=160561"
"LIRA MAIA";"MAIA";"lira maia";"lira maia";"LIRA MAIA";"DEM";"PA";1875;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=161508"
"LOURIVAL MENDES";"MENDES";"lourival mendes";"lourival mendes";"LOURIVAL MENDES";"PTdoB";"MA";2260;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189077"
"LUCI CHOINACKI";"CHOINACKI";"luci choinacki";"luci choinacki";"LUCI CHOINACKI";"PT";"SC";841;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=99986"
